ingredient_id,effect_meddra_id
342369,10028334
623400,10001488
4337,10003549
17767,10000081
56946,10028813
5487,10048216
134748,10012378
6809,10023673
73494,10028411
11636,10028813
114477,10013036
39998,10013036
68149,10010774
141704,10017944
1373478,10001558
4337,10028813
73494,10021097
56946,10003549
114477,10001949
342369,10016256
407990,10028813
85762,10067484
276237,10067484
17767,10019211
6809,10037844
623400,10003658
342369,10020772
342369,10028391
358258,10014625
1373478,10036807
6375,10001760
68149,10037660
4337,10021097
114477,10010904
17767,10033557
60307,10017944
75207,10016825
596724,10013573
342369,10020751
342369,10007739
56946,10028411
342369,10018627
39998,10003591
6809,10047700
56946,10021097
134748,10010741
89013,10033371
68149,10013946
6375,10022437
5487,10010774
6809,10017944
17767,10037844
19831,10014695
4337,10047890
17767,10021789
623400,10003549
41126,10067484
141704,10021789
141704,10042128
519,10037844
60307,10009887
141704,10037844
89013,10001540
6809,10019211
342369,10028372
11636,10047890
6809,10000081
623400,10028813
134748,10013983
73494,10043071
73689,10067484
134748,10013916
276237,10062237
1546438,10013781
10473,10012218
4337,10043882
1592254,10001507
89013,10002855
41126,10028780
596724,10003988
22299,10013573
141704,10037032
6809,10028813
4337,10037844
342369,10047895
73494,10000081
68149,10025310
358258,10025482
5487,10001507
5487,10015218
73494,10019211
134748,10000125
5487,10020751
342369,10043554
60307,10028813
89013,10012378
495881,10062026
282446,10021425
1100072,10067484
1373478,10001575
114477,10001760
342369,10006002
342369,10021114
623400,10019211
22299,10037038
17767,10021097
11636,10021789
134748,10025482
56946,10021789
4124,10046901
73494,10022000
300195,10062237
35636,10014695
407990,10037844
134748,10016173
358258,10000060
1373478,10013946
75207,10019211
4337,10008531
141704,10062026
56946,10012174
89013,10003239
342369,10028596
61805,10067484
33738,10067484
17767,10028411
342369,10010774
623400,10047700
342369,10013781
68149,10020772
68244,10003239
6375,10002855
68244,10028411
1373478,10015150
134748,10000081
33738,10020751
114477,10003549
4337,10002855
56946,10029354
282446,10017944
89013,10047890
342369,10033425
748794,10067484
35623,10043071
68244,10047890
4124,10047890
39998,10010300
10473,10037844
5487,10067484
6375,10037844
2019,10042772
35623,10028813
623400,10003591
39998,10028813
358258,10001052
4124,10062026
141704,10022437
17767,10003239
358258,10029223
358258,10000081
19831,10018304
342369,10013786
10473,10021789
342369,10061355
623400,10037087
1546438,10067484
134748,10019211
613391,10020751
596724,10013946
342369,10028836
56946,10029202
358258,10019211
342369,10051055
