label_id,source,source_product_name,source_product_id,source_label_url
110,JP,"ミノマイシン錠50mg",00067451,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00067451
111,JP,"レボフロキサシン錠250mg「杏林」 (後発品)
レボフロキサシン錠500mg「杏林」 (後発品)",00064081,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00064081
112,JP,"フルコナゾールカプセル50mg「サンド」
フルコナゾールカプセル100mg「サンド」",00062736,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00062736
113,JP,"ロスバスタチン錠2.5mg「サワイ」 (後発品)
ロスバスタチン錠5mg「サワイ」 (後発品)
ロスバスタチンOD錠2.5mg「サワイ」 (後発品)
ロスバスタチンOD錠5mg「サワイ」 (後発品)",00067118,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00067118
114,JP,"ポビドンヨードスクラブ液7.5％「明治」 (後発品)",00066187,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00066187
115,JP,"バクトラミン配合錠
バクトラミン配合顆粒",00057476,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00057476
116,JP,"レトロゾール錠2.5mg「F」 (後発品)",00065277,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00065277
117,JP,"炭酸水素ナトリウム「コザカイ・M」",00010246,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00010246
118,JP,"テルミサルタン錠20mg「オーハラ」 (後発品)
テルミサルタン錠40mg「オーハラ」 (後発品)
テルミサルタン錠80mg「オーハラ」 (後発品)",00066727,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00066727
119,JP,"フェンタニル注射液0.1mg「テルモ」 (後発品)
フェンタニル注射液0.25mg「テルモ」 (後発品)
フェンタニル注射液0.5mg「テルモ」 (後発品)",00068271,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00068271
120,JP,"バルプロ酸Na錠100mg「フジナガ」
バルプロ酸Na錠200mg「フジナガ」
バルプロ酸Naシロップ5％「フジナガ」 (後発品)",00065667,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00065667
121,JP,"バベンチオ点滴静注200mg",00067176,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00067176
122,JP,"タダラフィル錠2.5mgZA「シオエ」 (後発品)
タダラフィル錠5mgZA「シオエ」 (後発品)",00070022,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00070022
123,JP,"ゾルピデム酒石酸塩錠5mg「サンド」 (後発品)
ゾルピデム酒石酸塩錠10mg「サンド」 (後発品)",00060385,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00060385
124,JP,"セルトラリン錠25mg「ツルハラ」 (後発品)
セルトラリン錠50mg「ツルハラ」 (後発品)
セルトラリン錠100mg「ツルハラ」 (後発品)",00065973,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00065973
125,JP,"モンテルカスト錠5mg「ニプロ」 (後発品)
モンテルカスト錠10mg「ニプロ」 (後発品)",00066464,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00066464
126,JP,"炭酸水素Na静注7％PL「フソー」
炭酸水素Na静注8.4％PL「フソー」",00055102,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00055102
127,JP,"セレニカR顆粒40％
セレニカR錠200mg
セレニカR錠400mg",00068338,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00068338
128,JP,"ドネペジル塩酸塩錠3mg「DSEP」 (後発品)
ドネペジル塩酸塩錠5mg「DSEP」 (後発品)
ドネペジル塩酸塩錠10mg「DSEP」 (後発品)",00062135,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00062135
129,JP,"トラセミド錠4mg「KO」 (後発品)
トラセミド錠8mg「KO」 (後発品)",00067066,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00067066
